public,air-chn-e46-a,R062-00221,public,Radio 2,00:03:52:1c:35:21
public,air-chn-f27-a,CN14D330BJ,public,Radio 2,98:4b:e1:1d:d9:d0
public,air-chn-f33-a,CN14D3300D,public,Radio 2,98:4b:e1:1d:eb:70
public,air-chn-f42-a,SG934ZV011,public,Radio 2,00:0f:61:1a:1f:91
public,air-chn-f43-a,CN17D3308W,public,Radio 2,98:4b:e1:2b:28:50
public,air-chn-f46-a,R062-00159,public,Radio 2,00:03:52:1c:12:f1
public,air-chn-g22-a,B009-00028,public,Radio 2,00:03:52:29:5e:81
public,air-chn-g28-1-a,B006-00881,public,Radio 2,00:03:52:29:4f:a1
public,air-chn-g42-a,R062-00318,public,Radio 2,00:03:52:1c:11:d1
public,air-chn-g43-a,CN17D3308B,public,Radio 2,98:4b:e1:2b:a9:30
public,air-chn-g46-a,R049-00009,public,Radio 2,00:03:52:1c:77:11
public,air-chn-g53-1-a,SG0399L160,public,Radio 2,00:24:a8:aa:8d:51
public,air-chn-h43-a,CN14D330TC,public,Radio 2,98:4b:e1:1d:ed:30
public,air-chn-j43-a,CN14D330TB,public,Radio 2,98:4b:e1:1d:ed:10
public,air-chn-j76-1-a,B006-00865,public,Radio 2,00:03:52:29:4f:51
public,air-chn-l15-a,B009-00753,public,Radio 2,00:03:52:2b:8e:f1
public,air-chn-p12-a,B006-00819,public,Radio 2,00:03:52:29:65:41
public,air-cla-a13-1-a,SG934ZV04S,public,Radio 1,00:0f:61:f4:f9:31
public,air-cla-a13-1-a,SG934ZV04S,public,Radio 2,00:0f:61:1a:15:e1
public,air-cla-a31-3-a,SG002ZVX2F,public,Radio 1,00:0f:61:bb:74:f1
public,air-cla-a31-3-a,SG002ZVX2F,public,Radio 2,00:0f:61:53:9a:21
public,air-cla-c16-1-a,SG934ZV01H,public,Radio 1,00:0f:61:f4:f0:31
public,air-cla-c16-1-a,SG934ZV01H,public,Radio 2,00:0f:61:1a:1e:e1
public,air-cla-d5-a,SG934ZV0G5,public,Radio 1,00:0f:61:f5:03:51
public,air-cla-d5-a,SG934ZV0G5,public,Radio 2,00:0f:61:1a:0b:c1
public,air-cla-e16-1-a,SG935ZV09N,public,Radio 1,00:0f:61:f4:fd:81
public,air-cla-e16-1-a,SG935ZV09N,public,Radio 2,00:0f:61:1a:11:91
public,air-cla-e24-a,SG935ZV02Y,public,Radio 1,00:0f:61:f4:f0:11
public,air-cla-e24-a,SG935ZV02Y,public,Radio 2,00:0f:61:1a:1f:01
public,air-cla-e32-a,SG932ZV0GR,public,Radio 1,00:0f:61:f5:02:f1
public,air-cla-e32-a,SG932ZV0GR,public,Radio 2,00:0f:61:1a:0c:21
public,air-cla-f16-1-a,SG935ZV030,public,Radio 1,00:0f:61:f4:ef:d1
public,air-cla-f16-1-a,SG935ZV030,public,Radio 2,00:0f:61:1a:1f:41
public,air-cla-f2-a,SG935ZV098,public,Radio 1,00:0f:61:f4:fd:11
public,air-cla-f2-a,SG935ZV098,public,Radio 2,00:0f:61:1a:12:01
public,air-cla-f24-a,SG934ZV038,public,Radio 1,00:0f:61:f4:f6:a1
public,air-cla-f24-a,SG934ZV038,public,Radio 2,00:0f:61:1a:18:71
public,air-cla-f34-1-a,SG932ZV08V,public,Radio 1,00:0f:61:f4:f3:91
public,air-cla-f34-1-a,SG932ZV08V,public,Radio 2,00:0f:61:1a:1b:81
public,air-cla-g16-1-a,SG935ZV00J,public,Radio 1,00:0f:61:f4:ef:71
public,air-cla-g16-1-a,SG935ZV00J,public,Radio 2,00:0f:61:1a:1f:a1
public,air-cla-g2-a,SG930ZV08K,public,Radio 1,00:0f:61:f4:f6:c1
public,air-cla-g2-a,SG930ZV08K,public,Radio 2,00:0f:61:1a:18:51
public,air-cla-g24-a,SG934ZV012,public,Radio 1,00:0f:61:f4:ef:a1
public,air-cla-g24-a,SG934ZV012,public,Radio 2,00:0f:61:1a:1f:71
public,air-cla-g34-a,SG935ZV00T,public,Radio 1,00:0f:61:f4:ff:81
public,air-cla-g34-a,SG935ZV00T,public,Radio 2,00:0f:61:1a:0f:91
public,air-cla-h16-a,SG935ZV032,public,Radio 1,00:0f:61:f4:ee:11
public,air-cla-h16-a,SG935ZV032,public,Radio 2,00:0f:61:1a:21:01
public,air-cla-h2-a,SG934ZV00Y,public,Radio 1,00:0f:61:f4:ef:b1
public,air-cla-h2-a,SG934ZV00Y,public,Radio 2,00:0f:61:1a:1f:61
public,air-cla-h24-a,SG930ZV0HQ,public,Radio 1,00:0f:61:f4:f0:81
public,air-cla-h24-a,SG930ZV0HQ,public,Radio 2,00:0f:61:1a:1e:91
public,air-cla-h34-a,SG934ZV0FB,public,Radio 1,00:0f:61:f4:ef:e1
public,air-cla-h34-a,SG934ZV0FB,public,Radio 2,00:0f:61:1a:1f:31
public,air-cla-j16-1-a,SG934ZV03S,public,Radio 1,00:0f:61:f4:f6:e1
public,air-cla-j16-1-a,SG934ZV03S,public,Radio 2,00:0f:61:1a:18:31
public,air-cla-j2-a,SG935ZV01G,public,Radio 1,00:0f:61:f4:f1:21
public,air-cla-j2-a,SG935ZV01G,public,Radio 2,00:0f:61:1a:1d:f1
